en_name,ua_name,X,Y,position_x,position_y
Autonomous Republic Of Crimea,Автономна Республіка Крим,234.0,-340.0,245.0,-325.0
Vinnytsia,Вінницька,-168.0,21.0,-159.0,35.0
Volyn,Волинська,-402.0,271.0,-392.0,261.0
Dnipropetrovsk,Дніпропетровська,248.0,-31.0,253.0,-21.0
Donetsk,Донецька,430.0,-54.0,443.0,-35.0
Zhytomyr,Житомирська,-163.0,211.0,-171.0,198.0
Zakarpattia,Закарпатська,-535.0,5.0,-513.0,10.0
Zaporizhzhia,Запорізька,304.0,-142.0,303.0,-130.0
Ivano-Frankivsk,Івано-Франківська,-433.0,21.0,-431.0,18.0
Kyiv,Київська,-56.0,140.0,-28.0,170.0
Kirovohrad,Кіровоградська,50.0,-18.0,45.0,-19.0
Luhansk,Луганська,508.0,71.0,509.0,63.0
Lviv,Львівська,-465.0,131.0,-458.0,124.0
Mykolaiv,Миколаївська,38.0,-109.0,37.0,-120.0
Odesa,Одеська,-60.0,-170.0,-97.0,-192.0
Poltava,Полтавська,148.0,135.0,167.0,108.0
Rivne,Рівненська,-290.0,261.0,-302.0,247.0
Sumy,Сумська,173.0,220.0,193.0,264.0
Ternopil,Тернопільська,-364.0,91.0,-361.0,85.0
Kharkiv,Харківська,314.0,130.0,337.0,104.0
Kherson,Херсонська,158.0,-230.0,152.0,-187.0
Khmelnytskyi,Хмельницька,-266.0,60.0,-268.0,96.0
Cherkasy,Черкаська,4.0,36.0,4.0,72.0
Chernivtsi,Чернівецька,-339.0,-32.0,-331.0,-30.0
Chernihiv,Чернігівська,25.0,290.0,48.0,273.0
